"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Quebec","2021A000224","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96413424","7.10.14","2400","E","","","0"
"2014","Quebec","2021A000224","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96413424","7.10.14","3400","D","","","0"
"2015","Quebec","2021A000224","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96413424","7.10.14","2300","E","","","0"
"2016","Quebec","2021A000224","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96413424","7.10.14","2900","D","","","0"
"2017","Quebec","2021A000224","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96413424","7.10.14","2600","D","","","0"
"2018","Quebec","2021A000224","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96413424","7.10.14","2500","D","","","0"
"2019","Quebec","2021A000224","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96413424","7.10.14","1900","E","","","0"
"2020","Quebec","2021A000224","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96413424","7.10.14","3300","D","","","0"
"2021","Quebec","2021A000224","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96413424","7.10.14","4400","C","","","0"
"2022","Quebec","2021A000224","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96413424","7.10.14","4500","C","","","0"
"2023","Quebec","2021A000224","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96413424","7.10.14","4300","B","","","0"
"2009","Quebec","2021A000224","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413451","7.12.1","58600","A","","","0"
"2010","Quebec","2021A000224","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413451","7.12.1","57900","A","","","0"
"2011","Quebec","2021A000224","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413451","7.12.1","57900","A","","","0"
"2012","Quebec","2021A000224","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413451","7.12.1","59600","A","","","0"
"2013","Quebec","2021A000224","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413451","7.12.1","60200","A","","","0"
"2014","Quebec","2021A000224","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413451","7.12.1","59800","A","","","0"
"2015","Quebec","2021A000224","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413451","7.12.1","59900","A","","","0"
"2016","Quebec","2021A000224","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413451","7.12.1","60400","A","","","0"
"2017","Quebec","2021A000224","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413451","7.12.1","61700","A","","","0"
"2018","Quebec","2021A000224","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413451","7.12.1","61600","A","","","0"
"2019","Quebec","2021A000224","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413451","7.12.1","63500","A","","","0"
"2020","Quebec","2021A000224","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413451","7.12.1","68500","A","","","0"
"2021","Quebec","2021A000224","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413451","7.12.1","68100","A","","","0"
"2022","Quebec","2021A000224","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413451","7.12.1","67100","A","","","0"
"2023","Quebec","2021A000224","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413451","7.12.1","66800","A","","","0"
"2009","Quebec","2021A000224","Median after-tax income","Economic families","2023 constant dollars","449","units","0","v96413452","7.12.2","80300","A","","","0"
"2010","Quebec","2021A000224","Median after-tax income","Economic families","2023 constant dollars","449","units","0","v96413452","7.12.2","78800","A","","","0"
"2011","Quebec","2021A000224","Median after-tax income","Economic families","2023 constant dollars","449","units","0","v96413452","7.12.2","79500","A","","","0"
